Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Real-time forecasting of COVID-19 spread according to protective behavior and vaccination: autoregressive integrated moving average models","BMC Public Health","","23","1","10.1186/s12889-023-16419-8","Chieh ChengWei-Ming JiangByron FanYu-Chieh ChengYa-Ting HsuHsiao-Yu WuHsiao-Han ChangHsiao-Hui Tsou","2023","http://link.springer.com/article/10.1186/s12889-023-16419-8","Article"
"Forecasting residential electricity demand in provincial China","Environmental Science and Pollution Research","","24","7","10.1007/s11356-016-8275-8","Hua LiaoYanan LiuYixuan GaoYu HaoXiao-Wei MaKan Wang","2017","http://link.springer.com/article/10.1007/s11356-016-8275-8","Article"
"A deep learning-based nonlinear ensemble approach with biphasic feature selection for multivariate exchange rate forecasting","Multimedia Tools and Applications","","82","15","10.1007/s11042-023-14497-9","Jujie WangMaolin HeWenjie XuFeng Jing","2023","http://link.springer.com/article/10.1007/s11042-023-14497-9","Article"
"Biogas generation from kitchen and vegetable waste in replacement of traditional method and its future forecasting by using ARIMA model","Waste Disposal & Sustainable Energy","","3","2","10.1007/s42768-021-00070-3","Pranta RoyMd. Ashik AhmedMd. Hakimuzzaman Shah","2021","http://link.springer.com/article/10.1007/s42768-021-00070-3","Article"
"Forecasting returns volatility of cryptocurrency by applying various deep learning algorithms","Future Business Journal","","9","1","10.1186/s43093-023-00200-9","Farman Ullah KhanFaridoon KhanParvez Ahmed Shaikh","2023","http://link.springer.com/article/10.1186/s43093-023-00200-9","Article"
"Evaluation of the fast orthogonal search method for forecasting chloride levels in the Deltona groundwater supply (Florida, USA)","Hydrogeology Journal","","26","6","10.1007/s10040-017-1719-5","Majda El-JaatMichael HulleyMichel Tétreault","2018","http://link.springer.com/article/10.1007/s10040-017-1719-5","Article"
"A statistical-based approach for determining the intensity of unrest phases at Stromboli volcano (Southern Italy) using one-step-ahead forecasts of displacement time series","Natural Hazards","","84","1","10.1007/s11069-016-2451-5","Tommaso CarlàEmanuele IntrieriFederico Di TragliaNicola Casagli","2016","http://link.springer.com/article/10.1007/s11069-016-2451-5","Article"
"A Hybrid Model Based on Variational Mode Decomposition and Gradient Boosting Regression Tree for Monthly Runoff Forecasting","Water Resources Management","","34","2","10.1007/s11269-020-02483-x","Xinxin HeJungang LuoPeng LiGanggang ZuoJiancang Xie","2020","http://link.springer.com/article/10.1007/s11269-020-02483-x","Article"
"Long short-term cognitive networks","Neural Computing and Applications","","34","19","10.1007/s00521-022-07348-5","Gonzalo NápolesIsel GrauAgnieszka JastrzębskaYamisleydi Salgueiro","2022","http://link.springer.com/article/10.1007/s00521-022-07348-5","Article"
"Developing grey prediction with Fourier series using genetic algorithms for tourism demand forecasting","Quality & Quantity","","55","1","10.1007/s11135-020-01006-5","Yi-Chung Hu","2021","http://link.springer.com/article/10.1007/s11135-020-01006-5","Article"
"UAV Photogrammetry and AFSA-Elman Neural Network in Slopes Displacement Monitoring and Forecasting","KSCE Journal of Civil Engineering","","24","1","10.1007/s12205-020-1697-3","Shuhong WangZishan ZhangYipeng RenChengjin Zhu","2020","http://link.springer.com/article/10.1007/s12205-020-1697-3","Article"
"Solar cycle prediction","Living Reviews in Solar Physics","","17","1","10.1007/s41116-020-0022-z","Kristóf Petrovay","2020","http://link.springer.com/article/10.1007/s41116-020-0022-z","Article"
"Forecasting surface water-level fluctuations of a small glacial lake in Poland using a wavelet-based artificial intelligence method","Acta Geophysica","","66","5","10.1007/s11600-018-0183-5","Adam PiaseckiJakub JuraszJan Franklin Adamowski","2018","http://link.springer.com/article/10.1007/s11600-018-0183-5","Article"
"A multi-model forecasting approach for solid waste generation by integrating demographic and socioeconomic factors: a case study of Prayagraj, India","Environmental Monitoring and Assessment","","195","6","10.1007/s10661-023-11338-y","Atul SrivastavaPawan Kumar Jha","2023","http://link.springer.com/article/10.1007/s10661-023-11338-y","Article"
